 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003027" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002507" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002889" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001764" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002938" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002627" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002769" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002589" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002785" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002981" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003022" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002772" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002868" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002595" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001769" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002606" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002724" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002528" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002973" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002734" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002831" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002590" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002612" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001440" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002583" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002605" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002741" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001472" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001767" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002702" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002780" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002569" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002489" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002608" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002834" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001947" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002615" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002490" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002551" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002602" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002773" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002496" , "gsal kha med/" ,
