location_orig,location_new,name_orig,name_new,url
new delhi,Delhi,western tibetan cultural association,western tibetan cultural association,https://www.tbrc.org/#!rid=W1KG12979
new delhi,Delhi,jamyang samten,jamyang samten,https://www.tbrc.org/#!rid=W23215
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W1KG9408
new delhi,Delhi,stag-lun ma rin-po-che,stag-lun ma rin-po-che,https://www.tbrc.org/#!rid=W1KG12220
new delhi,Delhi,rta rna bla ma/,rta rna bla ma/,https://www.tbrc.org/#!rid=W1KG9799
new delhi,Delhi,chophel legdan,chophel legdan,https://www.tbrc.org/#!rid=W30167
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG12962
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W2046
new delhi,Delhi,mongolian lama gurudeva on behalf of geshe lobsang tharchin,mongolian lama gurudeva on behalf of geshe lobsang tharchin,https://www.tbrc.org/#!rid=W1KG8833
new delhi,Delhi,ngawang topgyay,ngawang topgyay,https://www.tbrc.org/#!rid=W27516
new delhi,Delhi,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W23816
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W30182
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W30181
new delhi,Delhi,dil+lI bod kyi gros tshogs dang srid byus nyams zhib khang /,dil+lI bod kyi gros tshogs dang srid byus nyams zhib khang /,https://www.tbrc.org/#!rid=W1KG21021
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG10237
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W1KG11694
new delhi,Delhi,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W1KG3706
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23609
new delhi,Delhi,[s.n.],[s.n.],https://www.tbrc.org/#!rid=W1KG10597
new delhi,Delhi,yonten gyatso,yonten gyatso,https://www.tbrc.org/#!rid=W00EGS1017303
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23893
new delhi,Delhi,t. g. dhongthog,t. g. dhongthog,https://www.tbrc.org/#!rid=W10311
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W12362
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W23881
new delhi,Delhi,d. gyaltsan & k. legshay,d. gyaltsan & k. legshay,https://www.tbrc.org/#!rid=W20503
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23610
new delhi,Delhi,chophel legden,chophel legden,https://www.tbrc.org/#!rid=W1KG12783
new delhi,Delhi,ngawang topgya,ngawang topgya,https://www.tbrc.org/#!rid=W1KG21931
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W1KG13104
new delhi,Delhi,ze chen sprul sku 'gyur med bshad sgrub dar rgyas/,ze chen sprul sku 'gyur med bshad sgrub dar rgyas/,https://www.tbrc.org/#!rid=W20528
new delhi,Delhi,"trulku tsewang, jamyang and l. tashi","trulku tsewang, jamyang and l. tashi",https://www.tbrc.org/#!rid=W1KG9720
new delhi,Delhi,chatring jansar tenzin,chatring jansar tenzin,https://www.tbrc.org/#!rid=W23151
new delhi,Delhi,nor bu g+har phigsi dpe skrun khang /,nor bu g+har phigsi dpe skrun khang /,https://www.tbrc.org/#!rid=W1KG20872
new delhi,Delhi,don 'grub rdo rje/,don 'grub rdo rje/,https://www.tbrc.org/#!rid=W00KG09215
new delhi,Delhi,gonpo dorje,gonpo dorje,https://www.tbrc.org/#!rid=W2CZ6645
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W23797
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W30151
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W30153
