Gyixong	skyid gshongs	吉雄	Jixiong
Gyizhong	dkyil grong	吉中	Jizhong
Gyüba	brgyud pa	具巴	Juba
Horba	hor pa	霍尔巴	Huoerba
Hordê	hor sde	霍德	Huode
Ini	i ni	思尼	Sini
Jagda	lcags mda'	江达	Jiangda
Jaggang	lcags sgang	甲岗	Jiagang
Jaggong	lcags gong	加贡	Jiagong
Jaggyê	lcags sgye	加克西	Jiakexi
Jagka	lcags kha	加卡	Jiaka
Jagka	lcags kha	加卡	Jiaka
Jagsamka	lcags zam kha	加桑卡	Jiasangka
Jang	ljang	江	Jiang Xiang
Jangdam	lcags 'dam	江当	Jiangdang
Jangra	lcang rwa	江惹	Jiangre
Jangra	lcang ra	江热	Jiangre
Jangraxar	lcang ra shar	江热夏	Jiangrexia
Jarrag	sbyar rags	加热	Jiare
Jazaz	'ja' rdza	下藏	Xiazang
Jê	gces	计	Ji Xiang
Jêbumgang	rje 'bum sgang	吉崩岗	Jibenggang
Jêbumgang	rje 'bum sgang	吉崩岗	Jibenggang
Jêdêxoi	lce bde zhol	杰德秀	Jiedexiu
Jiêba	brjed pa	结巴	Jieba
Jigdoi	ljig stod	吉多	Jiduo
Jiling	spyi gling	金岭	Jinling
Jinda	sphyi mda'	金达	Jinda
Jomda	'jo mda'	江达	Jiangda
Jomda	'jo mda'	江达	Jiangda
Jomdo	bcom mdo	江多	Jiangduo
Jorju	'byor bcu	略觉	Luejue
Jorra	sbyor ra	觉拉	Juela
Kaibo	gad po	克布	Kebu
Kaigang	gad sgang	卡嘎	Kaga
Kailahor	gad la hor	格老窝	Gelaowo
Kaimar	gad dmar	格玛	Gema
Kaimar	gad dmar	克玛	Kema
Kaintang	'khan thang	肯通	Kentong
Kai'nyagxoi	gad nyag shod	格良西	Geliangxi
Kairag	gad rags	切热	Qiere
Kamba Xian	gam pa	岗巴	Gangba
Kambu	gam bu	康布	Kangbu
Kamru	gam ru	康如	Kangru
Ka'ngai	gwa ngad	甘岩	Ganyan
Kangco	gangs mtsho	康卓	Kangzhuo
Kangmar	khang dmar	康马	Kangma
Kangmar	khang dmar	康马	Kangma
Kangqên	gangs chen	岗茄	Gangru
Kangri	khang ri	康日	Kangri
KangSa	gangs sa	岗莎	Gangsha
Kangsar	khang gsar	康沙	Kangsha
Kangxung	khang gzhung	康雄	Kangxiong
Kangyu	khang yul	康玉	Kangyu
Kaqu	kha chu	库局	Kuju
Karag	kha dbrag	卡热	Kare
Karchoi	'khar khrod	卡珠	Kazhu
Kardag	mkhar ltag	卡达	Kada
Kardoi	mkhar stod	卡堆	Kadui
Kargang	mkhar sgang	卡贡	Kagong
Kargang	mkhar sgang	卡贡	Kagong
Karlung	mkhar lung	卡龙	Kalong
Karmai	mkhar smad	卡麦	Kamai
Karmardo	mkha ra dmar mdo	卡玛多	Kamaduo
Karru	mkhar ru	卡如	Karu
Kartog	mkhar thog	卡多	Kaduo
Karwapêkyim	mkhar ba 'phel khyim	卡瓦白庆	Kawabaiqing
Karzê	mkhar rtse	卡孜	Kazi
Karzê	mkhar rtse	卡孜	Kazi
Kata	gwa tha	嘎塔	Gata
Kêrri	kher ri	克日	Keri
Konggar	gong dkar	贡嘎	Gongga
Kongkangsar	gong khang gsar	贡康沙	Gongkangsha
