 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G20" , "zhe chen dgon/" ,
 "http://purl.bdrc.io/resource/G20" , "Zhechen Tennyi Dargyeling" ,
 "http://purl.bdrc.io/resource/G20" , 协庆寺 ,
 "http://purl.bdrc.io/resource/G20" , "ze chen dgon/" ,
 "http://purl.bdrc.io/resource/G20" , "sde dge zhe chen dgon/" ,
 "http://purl.bdrc.io/resource/G20" , "zhe chen bstan gnyis dar rgyas gling" ,
 "http://purl.bdrc.io/resource/G20" , "xieqing si" ,
 "http://purl.bdrc.io/resource/G20" , "sde dge ze chen dgon/" ,
 "http://purl.bdrc.io/resource/G4687" , "srib mda' rdzogs chen dgon/" ,
 "http://purl.bdrc.io/resource/G4687" , "rdzogs chen dgon (srib mda')" ,
 "http://purl.bdrc.io/resource/G194" , "gnas nang dgon/" ,
 "http://purl.bdrc.io/resource/G194" , 乃朗寺 ,
 "http://purl.bdrc.io/resource/G194" , "Nenang Gon" ,
 "http://purl.bdrc.io/resource/G194" , "stod lung gnas nang dgon/" ,
 "http://purl.bdrc.io/resource/G194" , 乃囊寺 ,
 "http://purl.bdrc.io/resource/G194" , 奈囊寺 ,
 "http://purl.bdrc.io/resource/G194" , "nailang si" ,
 "http://purl.bdrc.io/resource/G194" , "nainang si" ,
 "http://purl.bdrc.io/resource/G161" , "bya khyung dgon pa/" ,
 "http://purl.bdrc.io/resource/G161" , 夏琼寺 ,
 "http://purl.bdrc.io/resource/G161" , "Jakhyung Tekchen Yontan Dargyeling" ,
 "http://purl.bdrc.io/resource/G161" , "bya khyung theg chen yon tan dar rgyas gling" ,
 "http://purl.bdrc.io/resource/G161" , "theg chen yon tan dar rgyas gling" ,
 "http://purl.bdrc.io/resource/G161" , "xiaqong si" ,
 "http://purl.bdrc.io/resource/G161" , "a mdo bya khyung dgon/" ,
 "http://purl.bdrc.io/resource/G161" , "Jakhyung" ,
 "http://purl.bdrc.io/resource/G161" , 夏群寺/ 夏冲寺/ 沙冲寺 ,
